query,title,docid,link,rel
Deodorant for sensitive skin,Degree Deod Inv Sld Clean Size 2.7z Degree Ultra Dry Clean Invisible Stick Deodorant - Pack of 2,57,https://www.amazon.com/dp/B004VH2OSO,4
Deodorant for sensitive skin,Native Deodorant Mint Cookie Cupcake Paraben Aluminum Free 2.65 oz,129,https://www.amazon.com/dp/B09PVNW774,4
Deodorant for sensitive skin,"Mitchum Invisible Anti-Perspirant & Deodorant Roll-On, Unscented 3.4 oz (Pack of 8)",280,https://www.amazon.com/dp/B01IAELRK4,4
Deodorant for sensitive skin,12 Pack of Roll On Empty Glass Bottles for Essential Oils - Refillable Roller Color Roll On - Bulk - 30 ml 1 oz Pack of 12 -Clear Color,344,https://www.amazon.com/dp/B00XLT4QPW,1
Deodorant for sensitive skin,"Simply Divine Botanicals Crystal Ally Natural Deodorant Spray, Sandalwood, 2 oz",501,https://www.amazon.com/dp/B00384A3NY,5
Deodorant for sensitive skin,"All-Natural, Aluminum-Free Deodorant that Kills Odor-Causing Bacteria, 2.0 oz (Coco-Van)",549,https://www.amazon.com/dp/B079VVP246,5
Deodorant for sensitive skin,Body Crystal Caribbean Bay Rum Travel Size 1oz fragrance,677,https://www.amazon.com/dp/B005CZUQOS,1
Deodorant for sensitive skin,Elektra Magnesium Cream Island Spice (100g),853,https://www.amazon.com/dp/B00F97Y8RA,3
Deodorant for sensitive skin,Paco Rabanne Invictus Deodorant Stick - 75ml/2.5oz,922,https://www.amazon.com/dp/B00S1IADKK,1
Deodorant for sensitive skin,"ARRID XX Anti-Perspirant Deodorant Spray, Morning Clean 6 oz (Pack of 12)",1291,https://www.amazon.com/dp/B00F77H1OY,4
Deodorant for sensitive skin,Native Unearthed Natural Deodorant Balm Coconut & Vanilla 2.11 fl oz,1409,https://www.amazon.com/dp/B072N5YMN1,5
Deodorant for sensitive skin,avena instituto espanol fresh deodorant roll on anti-transpirant,1440,https://www.amazon.com/dp/B07SZJ979W,3
Deodorant for sensitive skin,"Right Guard Xtreme Heat Shield Antiperspirant & Deodorant, Mirage 2.6 oz ( Pack of 6)",1441,https://www.amazon.com/dp/B01IAEZIQI,3
Deodorant for sensitive skin,Medusa Sex Pheromone Perfume Jasmine Scented,1499,https://www.amazon.com/dp/B00HFEK72U,1
Deodorant for sensitive skin,Alvera All Natural Roll-On Deodorant Aloe and Almonds (3 oz),1515,https://www.amazon.com/dp/B071LBN8PR,5
Deodorant for sensitive skin,Tom's of Maine Natural Long-Lasting Deodorant Stick Lavender 2.25 oz (Pack of 4),1529,https://www.amazon.com/dp/B008PGMS9C,5
Deodorant for sensitive skin,Versace Yellow Diamond Perfumed Deodorant Stick 50ml/1.7oz,1896,https://www.amazon.com/dp/B00BNARG9O,2
Deodorant for sensitive skin,5 DAY Anti-Perspirant Deodorant Pads Regular Scent 75 Each (Pack of 6),2051,https://www.amazon.com/dp/B01IA96JFM,2
Deodorant for sensitive skin,"Dove Men + Care Invisible Solid Deodorant, Cool Fresh 3 oz (Pack of 2)",2079,https://www.amazon.com/dp/B01IAFJK66,3
Deodorant for sensitive skin,Old Spice Rz Gel Ap Swagg Size 3.8z,2097,https://www.amazon.com/dp/B01IAFD238,2
Deodorant for sensitive skin,"DEONAT Natural Mineral Deodorant Spray (Aloe), 3.38 Fl Oz (Pack of 1)",2322,https://www.amazon.com/dp/B094N6P643,4
Deodorant for sensitive skin,Axe Gold Oud Wood and Dark Vanilla Deodorant Body Spray (2Pack),2507,https://www.amazon.com/dp/B07LD2NSGR,2
Deodorant for sensitive skin,Old Spice Midnight Run for Men 3.8 oz (Pack of 3),2542,https://www.amazon.com/dp/B08665V1RQ,2
Deodorant for sensitive skin,"Speed Stick Power Antiperspirant Deodorant, Ultimate Sport 3 oz (Pack of 5)",2658,https://www.amazon.com/dp/B01I9TKRPG,2
Deodorant for sensitive skin,Degree Men Arctic Edge Deodorant Stick 3 oz (Pack of 9),2943,https://www.amazon.com/dp/B01IA9DHLG,2
Deodorant for sensitive skin,Cartier Eau De Cartier Deodorant Stick,2953,https://www.amazon.com/dp/B000JR6WTM,2
Deodorant for sensitive skin,Old Spice Deod Harkridge Size 3.Z Old Spice Deodorant Hawkridge 3z,3084,https://www.amazon.com/dp/B01BS532BE,2
Deodorant for sensitive skin,"Secret Original Shower Fresh Scent Women's Invisible Solid Ph Balanced Antiperspirant and Deodorant, 2.6 Ounce",3113,https://www.amazon.com/dp/B00UTJMVXG,3
Deodorant for sensitive skin,Degree Just Dance Antiperspirant Deodorant Stick 2.6 oz (Pack of 3) B,3318,https://www.amazon.com/dp/B00PML48JQ,2
Deodorant for sensitive skin,BRUT Anti-Perspirant Deodorant Spray Original 4 oz (Pack of 2),3506,https://www.amazon.com/dp/B01BDZHH1K,2
Deodorant for sensitive skin,(Pack of 3 Bottles) Fa Island Vibes Fiji Dream Watermelon - Ylang Ylang Scent Anti-perspirant Deodorant Roll on for Women 3x50ml / 3x1.7 Fl Oz,3587,https://www.amazon.com/dp/B07XB34H5N,2
Deodorant for sensitive skin,"Underarm Perspiration Shield Disposable Absorbent Pads (30 Pairs, Regular) - Invisible Protection Against Armpit Sweat Stains",3667,https://www.amazon.com/dp/B01MRWMKUU,2
Deodorant for sensitive skin,The Healthy Option Crystal Spring Salt Of The Earth Deodorant.,3709,https://www.amazon.com/dp/B001F41IXI,5
Deodorant for sensitive skin,"Suave Deodorant Invisible Solid, Coconut Kiss 2.6 oz (7 Pack)",3810,https://www.amazon.com/dp/B072PY19RB,2
Deodorant for sensitive skin,Lafe'S Natural Body Care Deod Spray W/Aloe Vera 8 Fz,4147,https://www.amazon.com/dp/B002LMUUPU,5
Deodorant for sensitive skin,Ermenegildo Zegna Acqua Di Bergamotto Gift Set: 3.4 Oz Eau De Toilette Spray + 2.5 Oz Hair & Body Wash + 2.1 Oz Deodorant Stick,4202,https://www.amazon.com/dp/B01H855M7U,1
Deodorant for sensitive skin,Olnamo Deovie Flatulent Odor Destroyer pads Deodorant Sheet for IBS,4335,https://www.amazon.com/dp/B0B5YW1MZN,1
Deodorant for sensitive skin,Lavanila For Women By Lavanila Laboratories The Healthy Deodorant Sport Luxe Vanilla Breeze 2 oz,4351,https://www.amazon.com/dp/B017ADL90E,3
Deodorant for sensitive skin,"Fractionated Coconut Oil, 16 oz - Ultra Hydrating Massage & Aromatherapy Oil, Hexane-Free",4446,https://www.amazon.com/dp/B074488QZS,1
Deodorant for sensitive skin,Degree Clinical Sport Men Size 1.7z Degree Clinical Sport 1.7z,4453,https://www.amazon.com/dp/B01IADYY96,3
Deodorant for sensitive skin,LOT of 4 Odorono Anti-perspirant Deodorant Original 2.5 OZ New Free USA Shipping by Odorono,4633,https://www.amazon.com/dp/B01N1ZEWJA,2
Deodorant for sensitive skin,"Old Spice High Endurance Anti-Perspirant & Deodorant, Pure Sport 3 oz (Pack of 12)",4662,https://www.amazon.com/dp/B01IA9AH4G,2
Deodorant for sensitive skin,"Speed Stick by Mennen Deodorant, Regular 3 oz (Pack of 9)",4703,https://www.amazon.com/dp/B01IAF0HXG,2
Deodorant for sensitive skin,AXE Deodorant Stick for Men Gold Temptation 3 oz,4769,https://www.amazon.com/dp/B011BI3JE8,2
Deodorant for sensitive skin,Dove Men+Care Antiperspirant for Men Minerals and Sage with 48-Hour Sweat and Body Odor Protection 2.7 oz (Packaging may vary),4840,https://www.amazon.com/dp/B01MRUQUE2,2
Deodorant for sensitive skin,Old Spice Red Zone Sweat Defense Antiperspirant & Deodorant-After Hours-2.6 oz,4878,https://www.amazon.com/dp/B000WOSFRY,2
Deodorant for sensitive skin,"Yardley Red Rose Deodorant Bottle for Women, 150 ml (Pack of 2) - HerbalStore_247",4944,https://www.amazon.com/dp/9932877034,1
Deodorant for sensitive skin,Alvera All Natural Roll-On Deodorant Aloe Unscented - 3 fl oz (Pack of 2),5072,https://www.amazon.com/dp/B06XK6SS2L,4
Deodorant for sensitive skin,"TBH Kids Teen Hygiene Starter Kit- Shampoo, Conditioner, Body Wash, Face Wipes, Lotion, and Deodorant - 7 in 1 Kit for all Your Tweens Needs",5135,https://www.amazon.com/dp/B09648ZSBN,2
Deodorant for sensitive skin,"Jean Paul Gaultier Le Male Eau de Toilette Spray, 1.4 Ounce",5174,https://www.amazon.com/dp/B01NA9KF8Q,1
